date,epid_year,epid_week,epid_week_label,state,daily_cases,cumulative_cases,cumulative_start_date,cumulative_end_date,scraped_at
2026-09-08,2026,36,ME 36/2026 (06/09 - 12/09),SELANGOR,348,28539,2026-01-04,2026-09-08,2026-09-09T12:41:42.879464+08:00
2026-09-08,2026,36,ME 36/2026 (06/09 - 12/09),WILAYAH PERSEKUTUAN,98,11569,2026-01-04,2026-09-08,2026-09-09T12:41:42.879464+08:00
2026-09-08,2026,36,ME 36/2026 (06/09 - 12/09),JOHOR,127,10686,2026-01-04,2026-09-08,2026-09-09T12:41:42.879464+08:00
2026-09-08,2026,36,ME 36/2026 (06/09 - 12/09),NEGERI SEMBILAN,77,4272,2026-01-04,2026-09-08,2026-09-09T12:41:42.879464+08:00
2026-09-08,2026,36,ME 36/2026 (06/09 - 12/09),SABAH,30,4071,2026-01-04,2026-09-08,2026-09-09T12:41:42.879464+08:00
2026-09-08,2026,36,ME 36/2026 (06/09 - 12/09),PERAK,26,2052,2026-01-04,2026-09-08,2026-09-09T12:41:42.879464+08:00
2026-09-08,2026,36,ME 36/2026 (06/09 - 12/09),KELANTAN,16,1497,2026-01-04,2026-09-08,2026-09-09T12:41:42.879464+08:00
2026-09-08,2026,36,ME 36/2026 (06/09 - 12/09),PULAU PINANG,12,1050,2026-01-04,2026-09-08,2026-09-09T12:41:42.879464+08:00
2026-09-08,2026,36,ME 36/2026 (06/09 - 12/09),PAHANG,8,761,2026-01-04,2026-09-08,2026-09-09T12:41:42.879464+08:00
2026-09-08,2026,36,ME 36/2026 (06/09 - 12/09),SARAWAK,6,728,2026-01-04,2026-09-08,2026-09-09T12:41:42.879464+08:00
2026-09-08,2026,36,ME 36/2026 (06/09 - 12/09),KEDAH,6,673,2026-01-04,2026-09-08,2026-09-09T12:41:42.879464+08:00
2026-09-08,2026,36,ME 36/2026 (06/09 - 12/09),MELAKA,8,554,2026-01-04,2026-09-08,2026-09-09T12:41:42.879464+08:00
2026-09-08,2026,36,ME 36/2026 (06/09 - 12/09),TERENGGANU,14,310,2026-01-04,2026-09-08,2026-09-09T12:41:42.879464+08:00
2026-09-08,2026,36,ME 36/2026 (06/09 - 12/09),PERLIS,0,174,2026-01-04,2026-09-08,2026-09-09T12:41:42.879464+08:00
2026-09-08,2026,36,ME 36/2026 (06/09 - 12/09),WILAYAH PERSEKUTUAN LABUAN,0,15,2026-01-04,2026-09-08,2026-09-09T12:41:42.879464+08:00
2026-09-08,2026,36,ME 36/2026 (06/09 - 12/09),MALAYSIA,776,66951,2026-01-04,2026-09-08,2026-09-09T12:41:42.879464+08:00
